layer,target,target_type,n_samples,r2_macro,mae_macro,rmse_macro,pearson,spearman,fro_rmse
mlp_expert_00_pre,S_rho_bits,scalar,50000,0.9721719064206508,0.04832801198762057,0.06098466487893771,0.9859877906049141,0.860225894108158,
mlp_expert_01_pre,S_rho_bits,scalar,50000,0.9721719064206508,0.04832801198762057,0.06098466487893771,0.9859877906049141,0.860225894108158,
mlp_expert_02_pre,S_rho_bits,scalar,50000,0.9721719064206508,0.04832801198762057,0.06098466487893771,0.9859877906049141,0.860225894108158,
mlp_gating_pre,S_rho_bits,scalar,50000,0.9721719064206508,0.04832801198762057,0.06098466487893771,0.9859877906049141,0.860225894108158,
mlp_in_post,S_rho_bits,scalar,50000,0.9721719064206508,0.04832801198762057,0.06098466487893771,0.9859877906049141,0.860225894108158,
enc_02_post,S_rho_bits,scalar,50000,0.9720289787182885,0.04866609513411144,0.06114107578426464,0.9859153005257552,0.8630316599705541,
mlp_gating_post,S_rho_bits,scalar,50000,0.5862625036680125,0.18945128221116236,0.23514803563051415,0.7656778070551127,0.705013383868761,
mlp_expert_01_post,S_rho_bits,scalar,50000,0.12002675201464552,0.3048017279961715,0.3429364507508163,0.34644878197362944,0.3239761256812467,
mlp_expert_00_post,S_rho_bits,scalar,50000,0.08150578915138162,0.31587591391075354,0.35036210403422496,0.28549218827182565,0.26389857272878947,
mlp_expert_02_post,S_rho_bits,scalar,50000,0.015584580628551614,0.33457773175842564,0.3627171729805516,0.12483876089675064,0.09147013420007455,
enc_03_post,T_corr,mat3x3,50000,0.960225142581244,0.0605916377132415,0.0777138450053316,,,0.22574243872441982
mlp_in_pre,T_corr,mat3x3,50000,0.960225142581244,0.0605916377132415,0.0777138450053316,,,0.22574243872441982
mlp_expert_00_pre,T_corr,mat3x3,50000,0.9601538979803725,0.06064829820769551,0.07778453801008113,,,0.225945238604439
mlp_expert_01_pre,T_corr,mat3x3,50000,0.9601538979803725,0.06064829820769551,0.07778453801008113,,,0.225945238604439
mlp_expert_02_pre,T_corr,mat3x3,50000,0.9601538979803725,0.06064829820769551,0.07778453801008113,,,0.225945238604439
mlp_gating_pre,T_corr,mat3x3,50000,0.9601538979803725,0.06064829820769551,0.07778453801008113,,,0.225945238604439
mlp_in_post,T_corr,mat3x3,50000,0.9601538979803725,0.06064829820769551,0.07778453801008113,,,0.225945238604439
enc_02_post,T_corr,mat3x3,50000,0.950266166604247,0.06749736489647175,0.08676371278690828,,,0.2520175728607559
enc_01_post,T_corr,mat3x3,50000,0.9287687615728425,0.07955502152806818,0.10227496262053942,,,0.3008907323994776
enc_00_post,T_corr,mat3x3,50000,0.510524008876927,0.21655232015633707,0.2717798552945089,,,0.8069783268253248
mlp_gating_post,T_corr,mat3x3,50000,0.04928914546614094,0.32161893680853854,0.39167650755968964,,,1.147510108645079
mlp_expert_00_post,T_corr,mat3x3,50000,0.004713826790441596,0.33065319470811505,0.4010238777975633,,,1.1764007280688529
mlp_expert_01_post,T_corr,mat3x3,50000,0.003952012940162107,0.33089223920410027,0.4011768214300546,,,1.1769287674984181
mlp_expert_02_post,T_corr,mat3x3,50000,0.0017303119121674987,0.33132817025241806,0.4016235253025211,,,1.1786091470051496
mlp_expert_00_pre,T_fro_norm,scalar,50000,0.8582687960420883,0.07480490116099567,0.09464563816544029,0.9264280485377487,0.9292794558435837,
mlp_expert_01_pre,T_fro_norm,scalar,50000,0.8582687960420883,0.07480490116099567,0.09464563816544029,0.9264280485377487,0.9292794558435837,
mlp_expert_02_pre,T_fro_norm,scalar,50000,0.8582687960420883,0.07480490116099567,0.09464563816544029,0.9264280485377487,0.9292794558435837,
mlp_gating_pre,T_fro_norm,scalar,50000,0.8582687960420883,0.07480490116099567,0.09464563816544029,0.9264280485377487,0.9292794558435837,
mlp_in_post,T_fro_norm,scalar,50000,0.8582687960420883,0.07480490116099567,0.09464563816544029,0.9264280485377487,0.9292794558435837,
enc_03_post,T_fro_norm,scalar,50000,0.8582289961146905,0.07481340876853075,0.09465892608303292,0.9264065681256012,0.9292690248767957,
mlp_in_pre,T_fro_norm,scalar,50000,0.8582289961146905,0.07481340876853075,0.09465892608303292,0.9264065681256012,0.9292690248767957,
enc_02_post,T_fro_norm,scalar,50000,0.8108491913864122,0.0870659632376329,0.1093382118013691,0.9004716509949655,0.9035593718703198,
enc_01_post,T_fro_norm,scalar,50000,0.7728954149149367,0.09594775070776144,0.11980662026608842,0.8792679032597828,0.8797059939842343,
mlp_gating_post,T_fro_norm,scalar,50000,0.6700705685165057,0.11207174726665219,0.14440372458178716,0.8185783828200406,0.8242085207233155,
enc_00_post,T_fro_norm,scalar,50000,0.6203888269179094,0.12760347737443564,0.1548949857313056,0.787792201504232,0.7810398687641599,
mlp_expert_01_post,T_fro_norm,scalar,50000,0.19830780897773592,0.18195695987684718,0.22509802906756213,0.44531765041062366,0.4565460360073402,
mlp_expert_00_post,T_fro_norm,scalar,50000,0.15746397373654608,0.18607176247377594,0.23076083712181286,0.3968173052862438,0.39028890335842503,
mlp_expert_02_post,T_fro_norm,scalar,50000,0.06124435906484105,0.19880702811494452,0.24358141305822392,0.24747603417418823,0.21993570571376977,
enc_00_post,purity_scalar,scalar,50000,0.9972670520814487,0.006805523981353217,0.008902607117057133,0.9986340896153467,0.8737113510827083,
enc_01_post,purity_scalar,scalar,50000,0.9954138487220804,0.00900011663432042,0.01153255987875936,0.9977047048368981,0.8708273621025643,
enc_02_post,purity_scalar,scalar,50000,0.979536032980831,0.01901938568520106,0.024361074713005953,0.9897151274797859,0.8630186337487046,
mlp_expert_00_pre,purity_scalar,scalar,50000,0.9779548443648891,0.019999098107676246,0.025284718023704005,0.9889160034805606,0.8637066360533122,
mlp_expert_01_pre,purity_scalar,scalar,50000,0.9779548443648891,0.019999098107676246,0.025284718023704005,0.9889160034805606,0.8637066360533122,
mlp_expert_02_pre,purity_scalar,scalar,50000,0.9779548443648891,0.019999098107676246,0.025284718023704005,0.9889160034805606,0.8637066360533122,
mlp_gating_pre,purity_scalar,scalar,50000,0.9779548443648891,0.019999098107676246,0.025284718023704005,0.9889160034805606,0.8637066360533122,
mlp_in_post,purity_scalar,scalar,50000,0.9779548443648891,0.019999098107676246,0.025284718023704005,0.9889160034805606,0.8637066360533122,
enc_03_post,purity_scalar,scalar,50000,0.9779511323649239,0.019998234311134382,0.025286846675534984,0.9889141268020181,0.8637033885281754,
mlp_in_pre,purity_scalar,scalar,50000,0.9779511323649239,0.019998234311134382,0.025286846675534984,0.9889141268020181,0.8637033885281754,
mlp_gating_post,purity_scalar,scalar,50000,0.5886464879231162,0.08774775428870862,0.10922175105589318,0.7672330081170081,0.7087551135587723,
mlp_expert_01_post,purity_scalar,scalar,50000,0.1190460461681343,0.13875070560000924,0.1598372999578743,0.3450305089594662,0.3261356304328581,
