layer,target,target_type,n_samples,r2_macro,mae_macro,rmse_macro,pearson,spearman,fro_rmse
mlp_in_pre,C_conc,scalar,50000,0.7340261521431607,0.09460179642240317,0.12043285213262808,0.8567537465748438,0.8579688995016836,
mlp_fe2_pre,C_conc,scalar,50000,0.7005390903260778,0.10055237931528896,0.12778961837858155,0.8369847103665745,0.8352222939706649,
mlp_post_00_ln_pre,C_conc,scalar,50000,0.6955020786771399,0.10129800305015121,0.12885986426921026,0.8339707540153211,0.830967338419715,
mlp_fe2_post,C_conc,scalar,50000,0.6954986174847979,0.10130367631325272,0.12886059663464977,0.8339691670123703,0.8309906369241084,
enc_02_post,C_conc,scalar,50000,0.6947317522646403,0.10216275995459799,0.12902275775560873,0.8335062396395225,0.8333615019984326,
mlp_post_00_ln_post,C_conc,scalar,50000,0.6931329630377143,0.10180092806782687,0.12936018363019966,0.8325492568133738,0.8310160566177186,
mlp_post_01_linear_pre,C_conc,scalar,50000,0.6931329630377143,0.10180092806782687,0.12936018363019966,0.8325492568133738,0.8310160566177186,
mlp_attn_post,C_conc,scalar,50000,0.6841103378562976,0.10315249603769085,0.13124815591222672,0.8271164686081931,0.8237802898630482,
mlp_post_01_linear_post,C_conc,scalar,50000,0.6291411507240676,0.11170804107240896,0.1422098985653222,0.7931843231568496,0.7915790436319916,
mlp_post_03_ln_pre,C_conc,scalar,50000,0.6008019367854371,0.11593402859028445,0.14754337590326802,0.7751152212974082,0.7705885309783475,
mlp_post_03_ln_post,C_conc,scalar,50000,0.5978925665007355,0.11638686428381173,0.14808005064887936,0.7732363207285565,0.7694818978006247,
mlp_post_05_linear_pre,C_conc,scalar,50000,0.5978925665007355,0.11638686428381173,0.14808005064887936,0.7732363207285565,0.7694818978006247,
mlp_post_05_linear_post,C_conc,scalar,50000,0.5527050997875852,0.12171811778727895,0.15617894210393543,0.7434414899504118,0.741184827467642,
mlp_post_07_linear_pre,C_conc,scalar,50000,0.5422976030232187,0.12313432714729303,0.15798545193308,0.7364091413446296,0.732449760920532,
mlp_post_07_linear_post,C_conc,scalar,50000,0.526696011629861,0.12431711950088906,0.160655495340904,0.7257382637532441,0.7221503016448282,
enc_01_post,C_conc,scalar,50000,0.520493350661775,0.13005928301621217,0.16170476605434128,0.7214823412565854,0.7185801211852881,
mlp_post_09_linear_post,C_conc,scalar,50000,0.508641265919491,0.1254349937034077,0.1636910157157861,0.7131909058669683,0.7116030184351088,
enc_00_post,C_conc,scalar,50000,0.3655920660595623,0.15041951153889935,0.18599865608109267,0.6046939167116607,0.6012988704612876,
enc_00_post,C_rel_bits,scalar,50000,0.964255339751493,0.053273375757527316,0.06720584078910152,0.9819756682786227,0.9828326691735492,
mlp_fe0_pre,C_rel_bits,scalar,50000,0.9246170713011217,0.07707559442162858,0.09759732964778615,0.9615701361158574,0.9642823429355369,
mlp_in_post,C_rel_bits,scalar,50000,0.9246170713011217,0.07707559442162858,0.09759732964778615,0.9615701361158574,0.9642823429355369,
mlp_fe0_post,C_rel_bits,scalar,50000,0.9246170065718762,0.07707479671946192,0.09759737154984723,0.9615700948596406,0.9642828627869612,
enc_03_post,C_rel_bits,scalar,50000,0.924577404830254,0.07710302509300988,0.09762300411121808,0.9615495100435731,0.9642740018955658,
mlp_in_pre,C_rel_bits,scalar,50000,0.924577404830254,0.07710302509300988,0.09762300411121808,0.9615495100435731,0.9642740018955658,
enc_02_post,C_rel_bits,scalar,50000,0.9233114127865691,0.07812400134504,0.09843891099995329,0.9608909813909385,0.9645962529921744,
enc_01_post,C_rel_bits,scalar,50000,0.9144109415282637,0.08161067198292214,0.10399454437123747,0.9562558179294209,0.9587753199683422,
mlp_fe2_pre,C_rel_bits,scalar,50000,0.829582398636075,0.11537494354486048,0.146743426645382,0.9108149319780008,0.9189155185394703,
mlp_post_00_ln_post,C_rel_bits,scalar,50000,0.8271778461720622,0.11642691592411984,0.1477750580727366,0.9094938370135095,0.9163807588978804,
mlp_post_01_linear_pre,C_rel_bits,scalar,50000,0.8271778461720622,0.11642691592411984,0.1477750580727366,0.9094938370135095,0.9163807588978804,
mlp_post_00_ln_pre,C_rel_bits,scalar,50000,0.8266626056133184,0.11639346270498148,0.14799517753303337,0.9092105445782224,0.9150732627968454,
