sample_id,S_rho_bits,purity_scalar,Hinf_bits,r_bloch_A,s_bloch_B,T_corr,CHSH_bound_max,T_fro_norm,C_rel_bits,C_conc,N_neg
24600,0.8534261653252383,0.5981069069627725,0.4709684075065965,[ 0.35460918 -0.29212883  0.06859203],[ 0.10144853  0.10446739 -0.56202172],"[[-0.19585753  0.04026607 -0.25946301]
 [-0.05490324 -0.63730769  0.38492049]
 [ 0.06195178 -0.38705721 -0.14583911]]",1.7870578258205165,0.9162762563535445,0.8893009040253798,0.2559075922974075,0.11244393116594398
24601,0.11843715000263026,0.9684836085112061,0.02329128098680697,[-0.02291669  0.33468733 -0.37904407],[ 0.37889711  0.32524121 -0.11482651],"[[ 0.04163731  0.17053103  0.83402006]
 [ 0.89182301 -0.03783823 -0.03122588]
 [-0.16541666 -0.87001817  0.216185  ]]",2.586573028064001,1.5346625867740917,1.7403550564106178,0.8262536166957811,0.41294763618209207
24602,5.657592279371758e-15,0.9999999999999993,3.203426503814918e-16,[-0.19546642 -0.50297302 -0.24889489],[-0.37095622  0.28749767  0.36451915],"[[ 0.41105687  0.50203395 -0.51387123]
 [ 0.20274073 -0.64811768 -0.66233215]
 [ 0.75789136 -0.23963026  0.277469  ]]",2.566602702399995,1.5145047758206243,1.7181890593382128,0.8042775199024422,0.4021387689566066
24603,0.928202342842122,0.5489351338939973,0.6073064361854734,[0.29802886 0.34138941 0.09458635],[-0.09323848 -0.44262016  0.16946784],"[[ 0.3956494  -0.15750908  0.19910064]
 [-0.35142603 -0.2222613   0.03804582]
 [-0.5912462   0.0562783   0.00498914]]",1.7152231736890318,0.8649281255760888,1.0444260952282916,0.12469254574355595,0.05992724802090654
24604,4.102036171890393e-15,0.9999999999999997,3.203426503814918e-16,[ 0.87018574 -0.07719503 -0.47224005],[ 0.76560892 -0.55612627  0.3012632 ],"[[ 0.65978027 -0.48323892  0.31968799]
 [-0.13097584 -0.04912661 -0.01407194]
 [-0.38405649  0.29521211 -0.04656316]]",2.013759709093163,1.0137130180595937,1.7563854873728977,0.11750335571846779,0.05875168400085484
24605,1.3347297049933957e-14,0.9999999999999997,3.203426503814918e-16,[ 0.33183033 -0.11722776  0.16966029],[ 0.01912368 -0.35347215  0.16531804],"[[-0.44078492 -0.81249151  0.32099726]
 [-0.53910877  0.54637409  0.52147973]
 [ 0.60232697 -0.11677816  0.70690266]]",2.7183536710912093,1.6415612509338569,1.5772473114182244,0.9205224801852155,0.46026124926061407
24606,0.9741906224646248,0.5177827596365259,0.7507510040926868,[-0.17449925  0.19085643  0.18054307],[-0.41730314  0.05324099 -0.56786943],"[[-0.26094802  0.09179122  0.37353623]
 [ 0.11608573  0.02180795 -0.23992428]
 [-0.37839907  0.04800408  0.19787031]]",1.3685585398217486,0.6871731013216795,0.635176677970219,0.06334481696676128,0.017271012812073216
24607,0.9114892710192419,0.5600856588799463,0.5706171896485168,[-0.17417533 -0.1059761  -0.06325185],[-0.29189364  0.31258573  0.35963154],"[[-0.33164179 -0.56497274 -0.34644647]
 [-0.31993577 -0.07852452  0.08653012]
 [ 0.28552984 -0.14855333  0.33721479]]",1.7895948313059904,0.9394292293511234,0.8756520952370144,0.4035425597241003,0.15637954528783038
24608,0.5706813929604393,0.7666197322863214,0.20903410950125687,[0.07602395 0.32063275 0.58044397],[ 0.22233195 -0.50330943 -0.69937571],"[[ 0.0621883   0.25176969 -0.21386338]
 [-0.12291644 -0.1403117  -0.43672035]
 [ 0.39311173 -0.26946082 -0.51326513]]",1.7182786095424043,0.9105495361634454,0.7592900901731725,0.3348201584491183,0.12164187884208355
24609,3.91861368418179e-15,1.0,-0.0,[-0.0267738   0.20997928 -0.71824972],[-0.36675913 -0.4034903  -0.51319988],"[[-0.02267115 -0.48622978  0.45065802]
 [-0.69105014  0.07074077  0.02908508]
 [ 0.30944657  0.60057469  0.70621861]]",2.3994242658329132,1.3706270111645646,1.188426543831009,0.6628040338603937,0.33140202242403194
